Count,X,Y,Z,Training count,Output
3606,-2.6,-4.29,-5.03,,1
3605,-2.97,-6.98,-7.28,,1
3604,-2.29,0.97,-10.69,,1
3603,-4.53,-0.74,-13.76,,1
3602,-2.3,3.07,-17.57,,1
3601,-2.54,1.09,-21.01,,1
3600,-1.25,2.37,-24.53,,1
3599,-0.02,3.79,-26.51,,1
3598,0.5,4.56,-26.63,,1
3597,-0.07,6.52,-25.87,,1
3596,0.34,4.95,-25.44,,1
3595,0.45,5.06,-25.44,,1
3547,-2.88,-6.39,-5.58,43,1
3546,-2.81,-9.4,-5.56,,1
3545,-1.68,-3.36,-5.55,,1
3544,-2.77,-2.13,-5.27,,1
3543,-3.38,-3.71,-6.77,,1
3542,-3.24,-2.74,-10.4,,1
3541,-2.98,-1.24,-15.04,,1
3540,-2.04,-0.71,-19.84,,1
3539,-1.06,1.04,-23.75,,1
3538,-0.24,2.82,-25.87,,1
3537,0,4.48,-26.24,,1
3536,0.24,5.48,-25.57,,1
3535,0.5,5.03,-24.88,,1
3534,0.43,4.16,-24.64,,1
3533,0.49,4.49,-24.57,,1
3475,-3.07,-9.67,-3.76,42,1
3474,-2.65,-8.59,-3.5,,1
3473,-3.25,-7.35,-3.11,,1
3472,-3.33,-4.37,-2.45,,1
3471,-3.85,-2.97,-2.24,,1
3470,-4.53,-3.58,-3.05,,1
3469,-4.86,-3.55,-5.54,,1
3468,-4.68,-2.16,-9.48,,1
3467,-3.96,0.21,-14.35,,1
3466,-2.55,1.29,-19.2,,1
3465,-1.23,1.72,-23.33,,1
3464,-0.07,4.72,-25.8,,1
3463,-0.06,6.53,-26,,1
3462,0.43,6.34,-25.13,,1
3461,0.36,5.25,-24.58,,1
3460,0.49,5.11,-24.48,,1
3459,0.43,5.21,-24.44,,1
3410,-4.22,-11.43,-1.11,41,1
3409,-3.68,-9.27,-1.17,,1
3408,-3.39,-10.78,-1.01,,1
3407,-3.27,-7.31,-0.88,,1
3406,-3.54,-5.65,-0.26,,1
3405,-3.99,-4.84,0.16,,1
3404,-4.06,-5.28,-0.65,,1
3403,-4.43,-5.49,-3.84,,1
3402,-4.63,-3.18,-8.5,,1
3401,-4.21,0.34,-13.72,,1
3400,-2.98,0.82,-18.69,,1
3399,-1.66,2.76,-22.67,,1
3398,-0.69,3.51,-24.83,,1
3397,0.09,5.69,-24.93,,1
3396,0.17,6.65,-23.68,,1
3395,0.46,4.54,-23.05,,1
